Protocol,Dst Port,Src Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Flow IAT Mean,Active Mean,Idle Mean,Fwd PSH Flags,Bwd PSH Flags,Label
ICMP,57564,17195,857515.3739265335,11,9,186.0305342910304,100.62351214425172,129.77125675203987,135.533735990321,192202.3634014412,1271.1041282949777,3078.087677980937,0,0,BENIGN
TCP,34694,26812,178677.00649530475,10,13,407.19106055634813,361.0118289982089,10.985351369673023,91.35718036167066,39153.02296571004,1390.7565552822791,2276.7818230300463,1,1,BENIGN
ICMP,35741,6842,133439.75195580942,14,11,536.9962972118996,117.31897052985467,68.02827842020208,35.251400927421955,67699.17709599648,1644.684773316517,2520.6032445144274,0,1,BENIGN
UDP,11706,65329,27039.0449850767,12,10,190.04241420309148,131.49838357760166,10.694961272761459,20.285674158676283,298208.5866055475,2067.0816625015214,3114.667079128965,0,0,BENIGN
TCP,43409,60202,12503.436988604912,11,12,315.5237516924228,374.36106491189213,125.4436443508958,123.26719171509365,95948.68549303195,1076.8796960777358,5807.676934544844,0,0,BENIGN
UDP,28048,43724,2118685.080281397,10,5,252.56301691173618,380.0302608950808,65.84824928616983,166.90342024818673,180064.7437161483,1291.656927991356,2449.2731979589385,1,1,Attack
UDP,10967,34801,46136.9857677505,10,8,52.9437103532472,162.96966154022482,56.3635651048361,89.5745812849082,80132.8105434552,1264.4259821851006,1220.006103671022,1,1,BENIGN
UDP,17375,9700,1313866.2071717158,7,12,191.23512000743102,345.13284181640546,65.39025063582638,145.99291966325347,229260.44826984862,3524.9443052080073,3573.2014528489817,1,0,BENIGN
UDP,11139,45506,2055608.5862543432,16,21,241.3098435195631,184.27360514562358,20.306900248535655,104.28578022120072,51864.95039889065,1699.3863240719975,2200.071755637875,1,0,BENIGN
TCP,50965,10763,103204.89463742575,10,11,201.03172501885226,35.232920351920505,37.30828778243679,131.97493446067904,73440.01940421727,982.9961925352347,1115.6578769433029,0,0,BENIGN
TCP,15936,59239,573235.6097679727,9,13,125.47245223285049,74.33572650674223,73.76337312232451,122.28884168670635,38257.49456902178,1488.4724632318698,1414.4321960289874,0,0,BENIGN
UDP,45914,62818,3278174.316950217,14,12,96.24257538337005,223.30920227389,21.095404017328676,39.57216845478015,28307.13862798745,755.4298736940615,484.23770752051604,1,0,BENIGN
UDP,58148,39898,1796603.1440456212,11,9,355.04207654879934,228.63575156510018,97.00751790879721,89.40638903587379,166371.0815085596,1438.0569053983138,980.5713466943043,1,0,BENIGN
TCP,490,51858,672764.3918994402,9,13,112.08919811395678,297.3215613356758,86.2515757645956,167.2451791772213,78259.38208015499,4021.4319363174445,554.6041427278292,1,0,BENIGN
TCP,44517,41557,1437887.1226234648,12,5,77.66320473021494,181.35803467301213,43.0807562088879,28.64882973193459,126128.01532192377,2646.162600462982,1385.2097772124048,1,1,BENIGN
TCP,22261,2148,1792025.2511349202,13,7,223.3957156040888,242.44399682407257,128.09786440472033,35.463281446353164,110790.16871937584,2625.1623478946076,496.08914302920664,1,1,BENIGN
ICMP,26070,33384,427752.0724945338,12,16,150.34492981183897,80.46743464703093,172.66204145047556,29.915936593799458,102908.02704661129,2916.528898394177,2435.7887482591545,1,1,BENIGN
ICMP,52798,33716,2227040.952131264,8,6,238.67087695340467,552.5749785827431,88.67220289040947,79.20092803598055,71399.88850730838,1550.8695098317176,2189.0461209777395,1,1,BENIGN
ICMP,56234,38446,635771.7274426875,12,12,205.94673552160634,413.39937206322224,58.94818223713134,108.70395663516815,44738.089930503374,1638.6444273347465,1525.6350061064577,0,1,BENIGN
UDP,19276,53804,750368.2486048557,11,13,23.162305469800508,83.39631478241182,29.35877498956053,124.59524655518118,68746.85290552214,1529.6769485931484,3561.0952441681006,1,0,BENIGN
ICMP,59050,61718,8137517.188082362,11,7,177.37923460089021,85.70001182125264,73.26453838297243,114.59032639924979,197151.0063830069,2875.9611775701896,1449.5953954654724,0,1,BENIGN
UDP,36285,61109,1853441.058658034,12,17,71.49036620936447,235.2999081028923,50.95196518038282,75.13932427965561,50423.06625315117,1072.892084524204,4581.656610479325,1,1,BENIGN
UDP,52493,40635,449056.56808032346,10,14,131.72421561016284,158.73154730158652,127.15361713329474,76.0194984216048,242402.8482142754,6945.689612990495,1924.5224885585615,1,0,Attack
ICMP,39179,2014,10399.484144834501,10,9,215.43018165179805,331.35035921128497,195.214289227879,81.72235376710132,18729.330815729496,217.80867166821932,212.13194455024924,0,0,BENIGN
UDP,32822,20082,983965.0278690599,8,14,311.3156142570149,192.8349043019899,13.757997719029506,30.078515824356113,189763.96445488252,2429.183585554815,1320.0531339328504,1,1,BENIGN
ICMP,51728,16875,1217103.388124875,8,11,166.70775760864004,444.0823101708514,145.49480289326266,41.202991587637555,17926.164708068176,1762.722695847661,6454.50429116938,1,1,BENIGN
ICMP,60936,53503,1052118.1587788372,9,8,25.490286270000205,171.6368744246346,56.007394230241296,84.76607531378157,161623.49857263098,1358.4460837351623,3180.178743590068,1,0,BENIGN
TCP,17000,51581,3437727.0751511627,6,1,583.893170182399,322.56350852284504,107.64889670457396,62.39583247340455,257487.56224207598,3036.5100787012375,415.8909762264571,1,1,BENIGN
ICMP,62523,37756,1987562.8961851988,12,9,167.39659824429674,196.49397434067427,69.63430715567173,63.77293011902955,14293.566650059825,524.7617368690276,4098.997576256961,1,1,BENIGN
TCP,38713,8734,595715.0594493045,8,7,249.84941272760403,177.24343529444474,110.17485156239144,132.0503083992033,133547.48328547215,1547.7643168197244,1398.7862494488036,1,1,Attack
ICMP,64552,9480,64919.91382905804,7,7,142.69113834311707,190.02156546252257,70.79324088714446,69.08082016138738,13003.371034493312,1117.8785725397952,1540.0163889806433,0,1,BENIGN
ICMP,40173,9826,646375.7564891595,10,6,263.00963864231505,4.8660645882752425,48.33709146197039,48.9890139514914,131158.63301906505,249.71052462394226,798.7593043043084,0,1,BENIGN
TCP,33723,21305,1168747.304889183,13,9,145.16197194860956,116.51184128351852,20.370493376434485,27.88224499562754,80308.29464334523,433.7019936627205,2634.6527897200613,1,0,BENIGN
TCP,10626,35695,935753.4279323671,12,14,13.381981725065687,140.14624585681568,67.33123723802285,126.6546146155804,215993.7954172516,1189.4972382748504,3551.7531671767297,0,1,BENIGN
ICMP,1630,58697,772487.1152765057,9,13,268.3303716539764,251.40570203224462,82.64087929809654,124.9218758894067,121957.0199784163,3633.249241479672,2514.7822396187403,1,1,BENIGN
UDP,10974,40051,632652.370491498,13,9,107.24078626625999,305.19293895025953,163.94565301450382,46.08624845439492,107361.8718871323,549.2821695055945,4179.785307407894,1,1,Attack
TCP,6860,15636,347802.8080290097,13,10,60.86103353906156,164.19816026966282,20.576626811806555,42.144756985399205,161830.65541834634,5676.981517981614,2369.1574830579375,0,1,BENIGN
UDP,41610,48616,324825.7869856252,13,11,205.78534127535235,317.9702052757348,96.91839602881646,32.61298533096164,109417.50657065447,1017.6477357656231,459.5676077428667,1,1,Attack
UDP,43308,20761,693610.245609622,10,12,98.23262752288241,387.2763628545043,43.26843623095136,49.967693375728075,96558.7613192499,1199.5774295795952,1863.197470084426,1,0,BENIGN
UDP,45451,9491,175071.67651670196,10,12,51.28094120116376,119.70104230118386,68.09373320534259,50.26649721365055,77155.00602499956,862.888737751915,1933.9314445961663,0,0,BENIGN
TCP,36047,21253,416554.5041656798,8,7,181.91371135166764,155.5156548197635,99.06659763141825,126.72992419586252,156891.6825732276,2627.5240075699344,691.19397615505,1,1,BENIGN
UDP,21840,39755,391531.54469627124,12,9,175.78862672869766,194.2065578484527,19.45737965036133,67.0937898733143,150803.60048504217,1597.1131132254309,1294.440019136068,0,0,Attack
TCP,27217,6863,884629.2912031487,8,11,256.9715293546824,92.11283848225571,121.63801155668915,40.560221377125366,15942.955923819929,704.3066347427716,443.29389358187666,1,1,BENIGN
UDP,52954,44928,69009.62201619569,9,10,269.7000490530732,186.2695567945827,9.51811777622487,140.20480861070413,55620.675528674125,1598.6877853053613,1693.1358871335267,1,1,BENIGN
ICMP,18946,4424,1770009.7990336095,8,12,32.279196275740865,269.20401205800937,67.40014434704264,21.195425436031815,59313.35517556274,1391.2946254719488,2519.604560609595,1,0,BENIGN
ICMP,60594,10451,826400.6241230923,9,11,301.8739147890164,403.06958798847023,185.06640274507686,10.878607607332848,32607.370149635488,610.8019710759255,2065.9620810089755,0,0,BENIGN
TCP,6540,56023,1111170.860778239,10,7,718.2836934462797,162.81973954327043,112.6809000761913,122.31742851452836,124885.3928369668,1414.6077646329875,1483.7118387751993,0,1,BENIGN
ICMP,49523,62363,1214339.364447246,14,14,34.57846348384563,288.59440387102427,85.13524266064167,83.50863090890878,60612.45320398562,2429.230443875566,1392.3359715759307,0,1,BENIGN
ICMP,33626,61992,344582.8303244014,7,9,173.9948386824467,130.76823850127388,42.873245785304505,103.89091109865953,213486.74863005718,329.4834533616397,1808.4427098952049,1,1,BENIGN
UDP,4887,40928,635579.5888383219,14,11,186.9169794910443,93.68425365402088,27.389706768211745,22.43886465193411,94928.07561355656,2908.7952547140185,497.2639126727976,1,0,BENIGN
TCP,45714,34842,3129171.233185825,5,10,105.42072219437735,408.71793316208425,66.42404113851997,39.1999153836829,88060.40553619136,751.8065289122788,2101.07926038478,0,1,BENIGN
UDP,7486,22555,1455452.5519719706,8,3,113.65889435755898,169.31764387902138,71.56446503479617,135.83439181135859,104976.41011130519,1428.9380667604792,4471.514263371711,0,1,BENIGN
UDP,31456,49854,3491895.0976167475,9,6,11.533435839321461,182.93150600622005,14.628920595089543,111.77320803940358,17147.275619582335,3536.048920256356,859.2750878873692,1,0,BENIGN
UDP,46449,31827,1371422.8725019677,7,9,342.5517584262357,93.342149472129,65.08716461333276,10.524848546827279,268685.4755611566,740.5776672054368,1246.209157217153,0,0,BENIGN
UDP,16768,42880,193099.59943275357,10,19,53.460240760567004,126.61271693737966,148.58877116064934,86.41037850052356,42557.0261649505,1024.6740154595693,2940.036138950994,0,1,BENIGN
UDP,47166,57266,66712.49193491829,16,9,151.42289782201527,305.6319355285755,74.6468800879073,63.85372845851963,68574.34789642735,2073.3650398486875,1269.4854391797303,1,1,BENIGN
UDP,28454,6826,861948.0039480006,8,11,121.41758093563135,144.2318438118597,16.71342196158172,11.880117236068443,132435.6095009231,1585.5191557634555,983.814118246252,1,0,BENIGN
UDP,10745,43421,442876.1759936704,14,8,219.10807535712942,205.09034843139312,40.519701877332786,48.29802031757362,43510.65186160252,5755.1587974310105,1135.799837465601,0,0,BENIGN
TCP,37103,12455,322215.4238614678,6,11,353.33222365680035,22.46848263357005,11.970895673275617,103.94390480601238,131883.12042591008,894.7941082755725,3842.3433416588337,0,1,BENIGN
ICMP,53443,24252,1646158.9338338152,10,18,177.01386262380623,359.78921249052075,68.75997374638654,98.07956824675662,183516.02711723346,2292.0046441460604,581.1469773685511,1,0,BENIGN
UDP,51878,20649,457274.22037311806,20,10,293.8878291419441,147.81309177903915,93.6519773782612,57.903206210749076,21982.60469393536,1346.6495112312887,178.08520843854686,0,1,BENIGN
UDP,12227,40737,381261.8392283197,16,11,86.56619471279903,275.7144130428832,132.3025484353797,54.92232462084414,58497.49476532048,264.6850634715001,1137.353212655806,1,1,BENIGN
UDP,27870,24531,1897037.27609975,12,10,152.24461435480944,208.86118798079113,67.66827729270102,55.90049652641512,147940.4251015745,2860.0530622288675,584.8470728971081,0,1,BENIGN
UDP,22589,12517,1872670.2407219848,14,10,129.72008108663564,187.8001091828915,115.49048958458391,62.6100640105235,42628.74141074778,675.278043083009,1376.209294906739,1,0,BENIGN
UDP,13441,47059,440626.0282823751,9,8,53.40860498987179,269.67904290929215,67.39002673714992,39.431684907408076,120776.18783472541,3809.3787479238567,1313.1380105646965,0,0,BENIGN
UDP,31710,40545,1786764.1724394239,7,6,393.43807801879314,278.55197851453795,34.11278069961448,107.58413515503226,106194.54976586178,281.9052387566516,877.683291949817,0,1,BENIGN
ICMP,47789,8559,1902323.4349323162,9,17,250.17497461673508,146.14085067209012,88.8014584718728,53.99041955984473,161995.93873435634,465.05517817336363,1631.579491662924,1,0,Attack
ICMP,22496,8720,551527.0266508799,8,18,237.53219274826668,223.18807898240536,76.34827735750711,32.60383297299672,104807.9934322105,2907.1465373139963,2550.3783367685905,1,1,BENIGN
UDP,37020,4887,68785.53249299298,8,14,97.6188078906846,565.7716961680736,34.371227791589575,67.66006464005014,100898.7737855216,1260.2818698136043,4514.567936259979,0,0,BENIGN
ICMP,44949,61063,1585.9013433600853,14,7,56.50920270465022,55.99071258169462,72.00533318338415,153.81165010656943,83101.8485321043,1909.8910115486938,648.5903304649295,1,0,BENIGN
TCP,64890,28186,740852.1058810258,15,8,75.44868682902131,106.40317072159698,51.76031733996871,51.001701648333906,56659.047754110296,3047.0060598665036,3336.877176620535,1,1,BENIGN
UDP,65134,53088,421709.578017665,3,9,206.61834276611253,60.74691583060915,57.7662728688321,56.800258068510935,98886.45164395316,3420.363672142386,2119.4079555596477,0,1,BENIGN
TCP,48909,37388,5854103.452590289,11,13,122.49767869903056,127.94653359293208,21.62109942456119,6.406611271831974,73175.93201681475,3803.0387478120724,890.8015147036496,1,0,BENIGN
TCP,923,21576,1480213.9066644602,11,13,160.4885313437535,119.71055344713474,22.382956815816463,27.985507406513474,133699.5574287544,93.62111652537861,794.235382908207,1,1,Attack
UDP,52068,46725,1432444.9287632075,8,9,69.39553499177711,265.06641758553127,84.45543404735115,59.51791826709272,73143.55192567268,898.7936276620144,974.1237102759184,1,0,BENIGN
ICMP,27527,43114,3106502.244800093,7,15,738.8950670273828,63.07397131778024,15.844513069216962,103.16173193737569,79358.98823589833,479.67869457330056,3076.778967818347,0,1,Attack
TCP,7958,39644,2186798.6972377747,16,11,235.62605570423648,286.917536325654,93.41729481568893,65.05913447684313,15702.835096862864,5289.777263759503,188.6460600793521,1,0,BENIGN
UDP,63050,10101,383000.555493281,12,8,35.37634377712729,247.80215071216344,21.941183721712218,76.13811648530174,49520.6857286717,2471.4578939485295,1176.5582513358559,1,0,BENIGN
TCP,52199,60357,181506.5549228741,8,10,179.77222113139317,24.116427646274182,54.89049807082528,45.75696414726132,34462.729977766474,326.00513136791517,780.3236801807528,0,1,BENIGN
TCP,48565,7857,1369996.9486056746,11,10,197.05495958025193,162.97953466694725,31.876384516924546,27.83925678214625,85899.65967700568,3626.527069272527,2706.2706167758515,0,0,BENIGN
TCP,58319,38170,475255.6267642421,9,14,443.1679795444488,166.79582638121627,128.84112393401014,24.48043005808033,81567.03423040616,3966.864474817224,869.0432188544894,0,1,BENIGN
TCP,33999,28805,640882.3963203296,14,11,46.135843129435315,218.67521918264862,26.960240748308443,77.99561209920431,167287.50998824337,1028.3754575768858,1013.847640186238,0,0,BENIGN
ICMP,43396,64022,995327.8009077626,9,8,46.201260852299505,105.36268338332964,52.61850040186601,54.18068474319121,32323.928806741253,2102.092828670092,6436.340035579003,1,0,BENIGN
TCP,24032,35791,2384583.7123481305,15,13,436.9093691052958,551.693234442695,85.94589423458228,49.74804394330557,334905.36656678823,1983.284795741315,674.2952146390872,0,0,BENIGN
TCP,10007,30989,543155.5725583627,4,9,68.16239073706025,119.97478666662691,45.457263178277685,77.38673947547004,104737.04590092758,487.97008167560676,1750.4110278332557,0,1,BENIGN
TCP,60279,44444,1529319.3163449073,11,10,160.85293686516042,52.23199521161652,81.93874270788845,10.910836718538947,117305.10111434538,1494.6125118632513,2697.949056166171,1,0,BENIGN
ICMP,37702,10913,312439.0685234228,11,12,87.7636781947931,206.12352699414376,46.40655982537734,114.07442584723195,72017.10291797608,701.4240923362411,1005.1492268648725,1,0,BENIGN
TCP,47064,38507,1197234.8584317765,15,14,220.42850986553427,298.86979807699714,56.87800889506615,20.759799457636994,17889.739058838484,1989.845880060549,591.5365598432091,0,0,Attack
TCP,25940,47895,1580.6696782662095,11,9,97.67076903602818,150.15762008654175,63.737754643271586,62.06800446547006,143232.92680645324,3782.6567439747037,233.92955447444706,1,0,BENIGN
ICMP,49146,22369,2051882.5123364422,8,6,228.4402904615082,72.2916766190093,101.92034554211767,49.83628669454044,115860.82155618844,1733.4960165205553,619.3661682878532,1,0,BENIGN
ICMP,20325,1771,30850.60361086324,8,8,59.35386493412893,231.8629663171353,158.52583370628994,17.874640428301745,5139.730640920228,4436.048604003523,4211.1039822641715,1,0,Attack
ICMP,22868,12306,1247415.4337489184,10,6,135.06457909690883,87.23158291789883,88.77351047361682,91.97648570915678,175923.606335429,2100.0005916436558,1578.1117495886563,1,1,BENIGN
TCP,204,9970,47362.282801758265,7,16,70.89322438355212,141.83180978246622,57.96963823169426,89.76162627496419,99755.55536455887,3400.783556868705,1572.022869274816,1,1,BENIGN
ICMP,16545,12405,309581.0467244736,13,14,232.37285627384048,195.01587430060073,65.17174346257256,51.30582306734705,198334.60251155234,3002.7959666837605,1351.9967065985632,1,0,BENIGN
ICMP,15900,8990,687567.582620655,11,11,90.5389042755124,142.2829178892253,100.77619634413537,42.79348992959727,63875.02872893375,3080.026176397092,4156.109393067499,1,1,BENIGN
TCP,29064,65306,544621.4661122693,14,15,469.88363233395063,499.1785720435685,137.26090513589463,62.34819730359278,101292.07732080831,1262.8196785071345,981.8042683663089,1,0,BENIGN
ICMP,25345,35984,212990.4125638578,11,15,100.43748198146727,349.44599434504624,181.1300541428964,23.961317539553264,77727.84827169555,1054.34189168611,2507.7670351646957,0,1,BENIGN
TCP,3749,44749,406187.7367051846,10,5,304.34605490284366,784.2278360900407,13.791422377333234,194.17625849683523,183908.4280988619,1983.5089777310245,2064.64775514852,1,0,BENIGN
UDP,39487,39463,1300874.2731161483,12,5,337.739354864926,41.28685709658614,14.602049795613285,61.13826137362111,48873.24422413147,6621.542282134181,3288.0115796016876,0,1,BENIGN
ICMP,51734,19361,1106413.920146394,7,8,169.32233886419843,201.75093665502897,70.73699700924666,48.14290318503822,169110.39739211375,2302.906652480778,345.31599059772833,1,1,BENIGN
UDP,1094,20122,74523.76417515431,5,8,127.66105571065643,284.73696012494247,35.35977187309362,43.61286951193737,67584.78875969733,1548.1631814359462,5827.784073921436,0,0,BENIGN
TCP,15229,26288,1375614.8924805594,10,13,282.40689149227734,176.45330602772447,13.614123223880709,98.6421314570706,297238.4259689215,1316.2047355154157,898.6449781201107,0,0,BENIGN
ICMP,20885,65473,54504.635963443354,7,10,150.28545573644706,355.84680074308193,106.00269819049515,54.978619127812415,144101.47279075786,2059.6064388083782,461.9754306672216,0,0,BENIGN
TCP,25184,49905,782910.8268790824,8,6,34.76882226441565,183.51838564098819,185.23050446204053,19.380460727255713,57224.69187560626,5026.79670438451,3199.579166907793,0,0,BENIGN
UDP,16035,43430,301189.8910308003,8,12,129.6251189288082,122.20619728870294,84.04257230991935,27.004887499962912,100512.31372895655,2830.0763577295234,1571.905200853394,1,1,BENIGN
TCP,5711,61314,885980.094758038,10,12,205.59863313750532,101.4429686846157,127.13926801297308,127.76352863370184,57823.18608321666,2313.8778970670173,4420.244867112048,0,1,BENIGN
ICMP,42501,34161,302901.8356098815,12,7,196.94376098293273,3.016549517472842,93.78105091292689,45.541186049686175,37034.437731371225,1616.1232148048198,1546.9085283614456,1,1,BENIGN
ICMP,19260,6790,4196906.97128938,8,13,307.86761675650706,22.808169069862597,11.264301429456307,98.11403537478525,26375.14126440873,450.03237556411665,657.4713554305026,0,0,BENIGN
UDP,35960,27182,370669.8223367277,7,11,133.69759688669205,110.98811286508268,54.4777872694911,298.1602150173938,83794.58358532113,2743.425713723901,1310.8923649857832,0,1,BENIGN
TCP,50990,14386,277019.9628603344,10,12,233.96205805191386,216.65412456184345,50.09962367589355,180.47705686078618,54224.37698968669,3296.7981650332454,1749.8152115775295,0,1,BENIGN
ICMP,33458,17062,326374.79508587107,7,13,191.20302675418986,184.90327752405636,136.6075624706114,90.69524068399377,108938.20220521804,2276.411120510102,4188.211216480967,0,0,BENIGN
UDP,20144,106,2267921.4519554335,12,10,96.22311154559276,88.64678320536828,84.48926927037306,102.44866712368052,28996.624542859827,1292.6913360116605,2486.3827321699036,1,1,BENIGN
ICMP,60294,44248,1011202.7697881802,11,7,96.53339650145315,875.1314566278182,50.64615219169684,31.682878359592415,126034.7768161125,241.11701252003903,1274.4875036243523,1,1,BENIGN
ICMP,62681,21138,1311870.2293699083,11,6,182.92152141998764,168.94110147157625,137.06222548391514,61.036014618156315,62496.72691250835,2108.042308552572,783.120422749107,1,0,BENIGN
TCP,2104,34715,2501164.2118149237,14,14,156.97118069732278,320.5287003618333,112.2499833898587,49.23071940616228,163272.46278985252,2553.1426109860477,2399.374681831865,1,0,BENIGN
ICMP,366,5545,2428970.4774911115,12,10,305.92319424196575,42.26774227300923,26.252010113490183,15.923213901135156,86610.49851940405,1732.464847539524,3525.4653098766184,1,0,BENIGN
TCP,46779,50248,1343027.408808658,10,17,406.1153905989511,222.60540771025964,65.68359590402518,64.80207805663471,41620.6390169568,8825.356056445991,2275.0953304224454,0,0,BENIGN
ICMP,44536,13276,220427.77841767264,8,14,158.5844405451211,351.8917710105216,52.786369752320454,105.0033060709921,179292.35119344076,307.9510436066372,1241.0174575371427,1,0,Attack
UDP,16104,39754,1853890.1438760927,10,14,105.40361517948259,34.358274586667065,24.846219719785296,11.931555766496018,116697.43047559586,4939.9991410032835,1766.0217910711915,1,1,BENIGN
ICMP,32511,63249,227874.76863162575,9,11,164.62736807638677,134.99934957865497,23.42179390410105,36.661040798974774,22326.498094852286,1326.6033644211714,2229.6857309765537,1,1,Attack
TCP,24477,34551,1358285.5521127318,10,11,224.9282427209514,352.44074026389217,77.01216469675785,45.90564742007944,46831.837068941575,5139.518885889841,2077.59325718117,0,1,BENIGN
TCP,12743,53694,1157098.9721161104,13,12,263.4599403702684,329.9015326750659,56.08647169435937,2.0498199672696686,61203.448793255564,2382.061996880816,2729.108607862893,1,0,BENIGN
UDP,12392,63389,1422497.249076039,9,11,490.29663559878065,139.9232927271313,36.479255627744436,104.15288220944605,215836.04652071194,1915.3079328571575,1935.5450518074451,0,0,BENIGN
ICMP,36941,19642,760753.1871469342,9,8,90.98304990631428,195.03219898911374,46.16935217593151,85.36996698991418,37436.79660691348,2991.9338469690288,1663.8889624032645,0,1,BENIGN
ICMP,28902,6214,1018119.1102388307,13,4,213.65785501232688,123.84046709526895,95.23823515158088,111.31943284949075,11125.936767389134,2295.553238219725,723.1748019070187,1,1,BENIGN
UDP,55186,59342,3064441.1946641374,8,10,89.95876866528637,172.549802860896,145.0895145269419,83.99169309932648,90135.97074688718,890.43751705731,989.7048048228768,0,1,BENIGN
ICMP,32002,14486,106570.79683517474,7,10,119.50884791965817,355.36097645615473,36.98635195640986,41.125213795881024,43098.17884232764,1066.2769430251942,6255.859099905047,1,1,Attack
ICMP,15624,15606,369394.4590593896,15,8,75.8997048738188,158.21802971124652,56.04808262100444,85.5973259636699,209168.30505472102,456.4348283727417,1774.949343540589,1,0,BENIGN
TCP,2379,37638,945094.128234914,9,9,247.32026963482835,510.8415927279773,78.40156695504636,129.40193090598353,157440.5594705443,1308.983380587602,1917.865210627379,0,0,BENIGN
ICMP,65505,50714,3325741.0868527303,10,7,400.1318613925297,149.84053382671365,29.63728148289255,119.212279391113,115758.00123269067,3087.6241621319614,4154.640170922543,1,0,BENIGN
ICMP,50358,20391,100455.28561897246,7,8,576.243380019498,117.57008992335753,170.57958654346427,54.40297837699883,187969.69459065315,1195.3104340177622,4562.538794790126,1,0,BENIGN
UDP,21373,9868,22807.342896929214,11,13,225.0247997326324,196.1530707549014,38.83646173211409,68.64137725117841,90861.68851727973,716.618935750925,2018.746222312978,0,1,BENIGN
UDP,44800,58467,57363.89215304805,16,8,133.67589163221135,102.54606256394143,24.308940020573427,40.17920270799016,87729.57782397028,1070.5693953429104,1484.052725298096,0,0,BENIGN
TCP,38438,3982,53828.80762433321,7,12,261.49326136001486,364.46415610749324,36.52356637588008,103.04402357042612,240409.71632269231,1649.2107618194339,4290.089512496239,0,0,Attack
ICMP,35504,9494,2383967.156459459,6,13,126.32647625995833,67.94354441278132,28.658352334714625,5.8121169741896015,141425.11817650674,2708.2862847615047,871.3256334060659,0,0,BENIGN
ICMP,30747,5683,1277468.3258795503,6,7,249.800528870172,247.47736595338205,84.50166803690266,99.18826787087093,92201.8287985374,2207.8202445939787,2740.820540432016,0,1,BENIGN
ICMP,27924,5783,1130432.3171021938,6,9,328.9948077544554,83.00948195735307,11.77042390238627,32.42845060193224,12146.756437538597,2387.0496199592785,472.255290678701,0,0,BENIGN
TCP,9868,50096,739343.6338572355,13,12,12.108959424914095,34.84562555327045,82.97289607144045,60.94737880430329,42522.21162626023,2493.4044170397397,2661.3428312560764,1,1,BENIGN
TCP,41259,53703,1523042.88647211,11,13,238.2449638822949,89.81941033583063,27.45377971277792,112.51279362481263,24584.520833671682,2216.636042568184,1393.8631513133168,0,0,BENIGN
UDP,33725,29800,169185.80114808682,9,7,221.11476969348735,96.53878489855326,72.87135541964199,73.45198454395674,20921.26853340442,604.2014799185929,1679.448527450471,1,0,BENIGN
TCP,64287,41906,497483.6743721068,6,10,141.31285911929237,212.8746098699166,62.83792999792185,88.18795345354896,42196.78499892212,1044.3382922106723,2699.0602736287883,0,0,BENIGN
ICMP,9307,16985,673352.8881305467,11,12,396.08009939364183,158.0079933650274,22.463041267494983,22.73427675933763,14224.879021816563,748.8580246099621,2002.0073696061775,1,0,BENIGN
